"COUNTRY_CODE/CODE_PAYS","START_DATE/DATE_DE_DÉBUT","END_DATE/DATE_DE_FIN","COUNTRY_LABEL_EN/MARQUE_DE_PAYS_AN","COUNTRY_LABEL_FR/MARQUE_DE_PAYS_FR","PROVINCE_CODE/CODE_PROVINCE","PROVINCE_LABEL_EN/MARQUE_DE_PROVINCE_AN","PROVINCE_LABEL_FR/MARQUE_DE_PROVINCE_FR","STATE_CODE/CODE_D_ÉTAT","STATE_LABEL_EN/MARQUE_D_ÉTAT_AN","STATE_LABEL_FR/MARQUE_D_ÉTAT_FR"
"286","196601","199112","Ukraine Soviet Socialist Republic","Ukraine République Socialiste Soviétique","","","","","",""
"286","199201","---","Ukraine","Ukraine","","","","","",""
"287","199201","199303","Former Union of Soviet Socialist Republics","Union des républiques socialistes soviétiques anté","","","","","",""
"287","196601","199112","Union of Soviet Socialist Republics","Union des républiques socialistes soviétiques","","","","","",""
"288","200401","200609","Serbia and Montenegro","Serbie-et-Monténégro","","","","","",""
"288","199501","200312","Yugoslavia","Yougoslavie","","","","","",""
"288","199201","199412","Former Yugoslavia","Yougoslavie antérieure","","","","","",""
"288","196601","199112","Yugoslavia","Yougoslavie","","","","","",""
"289","199201","---","Slovenia","Slovénie","","","","","",""
"290","199201","---","Croatia","Croatie","","","","","",""
"291","199201","---","Georgia","Géorgie","","","","","",""
"292","199201","---","Kazakhstan","Kazakhstan","","","","","",""
"293","199201","---","Kyrgyzstan","Kirghizistan","","","","","",""
"294","199201","---","Moldova, Republic of","Moldova, République de","","","","","",""
"295","199201","---","Russian Federation","Russie, Fédération de","","","","","",""
"296","199201","---","Tajikistan","Tadjikistan","","","","","",""
"297","199201","---","Turkmenistan","Turkménistan","","","","","",""
"298","199201","---","Uzbekistan","Ouzbékistan","","","","","",""
"313","196601","---","Bahrain","Bahreïn","","","","","",""
"316","196601","---","Cyprus","Chypre","","","","","",""
"323","196601","---","Qatar","Qatar","","","","","",""
"328","198701","---","United Arab Emirates","Émirats arabes unis","","","","","",""
"344","196601","---","Ethiopia","Éthiopie","","","","","",""
"345","199501","---","Eritrea","Érythrée","","","","","",""
"347","196601","---","Iran","Iran","","","","","",""
"352","196601","---","Iraq","Iraq","","","","","",""
"355","196601","---","Israel","Israël","","","","","",""
"356","200204","---","Palestine, State of","Palestine, État de","","","","","",""
"358","196601","---","Jordan","Jordanie","","","","","",""
"359","196601","---","Kuwait","Koweït","","","","","",""
"363","196601","---","Lebanon","Liban","","","","","",""
"366","196601","---","Libya","Libye","","","","","",""
"368","197801","---","Oman","Oman","","","","","",""
"369","197301","---","Saudi Arabia","Arabie saoudite","","","","","",""
"374","196601","---","Somalia","Somalie","","","","","",""
"375","198801","199112","Democratic Yemen","Yémen démocratique","","","","","",""
"377","196601","---","Sudan","Soudan","","","","","",""
"378","201401","---","South Sudan","Soudan du sud","","","","","",""
"379","196601","---","Syria","Syrie","","","","","",""
"382","196601","---","Turkey","Turquie","","","","","",""
"385","198701","---","Egypt","Égypte","","","","","",""
"386","197801","199112","Northern Yemen","Yémen du Nord","","","","","",""
"386","199201","---","Yemen","Yémen","","","","","",""
"413","196601","---","Gambia","Gambie","","","","","",""
"414","196601","---","Ghana","Ghana","","","","","",""
"415","196601","---","Kenya","Kenya","","","","","",""
"416","196601","---","Malawi","Malawi","","","","","",""
"417","196601","---","Mauritius","Maurice","","","","","",""
"418","196601","---","Nigeria","Nigéria","","","","","",""
"419","198801","---","South Africa, Republic of","Afrique du Sud, République d'","","","","","",""
"420","196601","---","Namibia","Namibie","","","","","",""
"422","198101","---","Zimbabwe","Zimbabwe","","","","","",""
"423","196601","---","Sierra Leone","Sierra Leone","","","","","",""
"425","196601","---","Tanzania, United Republic of","Tanzanie, République-Unie de","","","","","",""
"426","196601","---","Uganda","Ouganda","","","","","",""
"428","196601","---","Zambia","Zambie","","","","","",""
"430","196601","---","Botswana","Botswana","","","","","",""
"431","196601","---","Lesotho","Lesotho","","","","","",""
"432","196601","---","Eswatini","Eswatini","","","","","",""
"433","196601","---","Saint Helena","Sainte-Hélène","","","","","",""
"434","196601","---","British Indian Ocean Territory","Territoire britannique de l'Océan Indien","","","","","",""
"435","196601","---","Seychelles","Seychelles","","","","","",""
"443","196601","---","Algeria","Algérie","","","","","",""
"446","196601","---","Angola","Angola","","","","","",""
"447","196601","---","Cameroon","Cameroun","","","","","",""
"448","196601","---","Burundi","Burundi","","","","","",""
"449","199708","---","Congo, Democratic Republic of the","Congo, République démocratique du","","","","","",""
"449","197201","199707","Zaire","Zaïre","","","","","",""
"450","196601","---","Central African Republic","Centrafricaine, République","","","","","",""
"451","196601","---","Chad","Tchad","","","","","",""
"452","196601","---","Congo, Republic of the","Congo, République du","","","","","",""
"453","196601","---","Mali","Mali","","","","","",""
"454","196601","---","Niger","Niger","","","","","",""
"455","196601","---","Benin","Bénin","","","","","",""
"456","196601","---","Rwanda","Rwanda","","","","","",""
"457","196601","---","Burkina Faso","Burkina Faso","","","","","",""
"458","196601","---","Réunion","Réunion","","","","","",""
"459","196601","---","Djibouti","Djibouti","","","","","",""
"460","196601","---","Comoros","Comores","","","","","",""
"461","198801","199112","French Southern Antarctic Territories","Territoires des Terres australes et antarctiques f","","","","","",""
"461","199201","---","French Southern Territories","Terres australes françaises","","","","","",""
"462","199201","---","Antarctica","Antarctique","","","","","",""
"463","197001","---","Gabon","Gabon","","","","","",""
"464","196601","---","Bouvet Island","Bouvet, Île","","","","","",""
"465","197001","---","Guinea","Guinée","","","","","",""
"466","196601","---","Côte d'Ivoire","Côte d'Ivoire","","","","","",""
"468","196601","---","Liberia","Libéria","","","","","",""
"469","197601","---","Madagascar","Madagascar","","","","","",""
"470","199401","---","Mayotte","Mayotte","","","","","",""
"472","196601","---","Mauritania","Mauritanie","","","","","",""
"473","198601","---","Morocco","Maroc","","","","","",""
"474","200701","---","Ceuta and Melilla","Ceuta et Melilla","","","","","",""
"475","196601","---","Guinea-Bissau","Guinée-Bissau","","","","","",""
"476","196601","---","Mozambique","Mozambique","","","","","",""
"477","196601","---","Cabo Verde","Cabo Verde","","","","","",""
"478","196601","---","Sao Tome and Principe","Sao Tomé-et-Principe","","","","","",""
"480","197901","---","Equatorial Guinea","Guinée équatoriale","","","","","",""
"482","196701","---","Senegal","Sénégal","","","","","",""
"485","196601","---","Western Sahara","Sahara occidental","","","","","",""
"486","196601","---","Togo","Togo","","","","","",""
"487","196601","---","Tunisia","Tunisie","","","","","",""
"512","197301","---","Bangladesh","Bangladesh","","","","","",""
"513","197301","---","Sri Lanka","Sri Lanka","","","","","",""
"514","196601","---","Maldives","Maldives","","","","","",""
"516","196601","---","Hong Kong","Hong Kong","","","","","",""
"519","198301","---","India","Inde","","","","","",""
"524","196701","---","Malaysia","Malaisie","","","","","",""
"525","198201","---","Brunei Darussalam","Brunéi Darussalam","","","","","",""
"527","197301","---","Pakistan","Pakistan","","","","","",""
"528","196701","---","Singapore","Singapour","","","","","",""
"542","196601","---","Afghanistan","Afghanistan","","","","","",""
"544","196601","---","Bhutan","Bhoutan","","","","","",""
"545","199001","---","Myanmar","Myanmar","","","","","",""
"545","196601","198912","Burma","Birmanie","","","","","",""
"548","199201","---","Cambodia","Cambodge","","","","","",""
"548","198801","199112","Democratic Kampuchea","Kampuchéa démocratique","","","","","",""
"549","196601","---","Laos","Laos","","","","","",""
"552","196601","---","Mongolia","Mongolie","","","","","",""
"553","198701","---","China","Chine","","","","","",""
"556","196601","---","Indonesia","Indonésie","","","","","",""
"557","196601","200212","East Timor","Timor oriental","","","","","",""
"557","200301","---","Timor-Leste","Timor-Leste","","","","","",""
"559","197601","---","Japan","Japon","","","","","",""
"563","196701","---","Korea, North","Corée du Nord","","","","","",""
"564","196701","---","Korea, South","Corée du sud","","","","","",""
"565","197801","---","Nepal","Népal","","","","","",""
"567","196601","---","Philippines","Philippines","","","","","",""
"575","196601","---","Macao","Macao","","","","","",""
"578","196601","---","Taiwan","Taïwan","","","","","",""
"583","196601","---","Thailand","Thaïlande","","","","","",""
"586","196601","---","Viet Nam","Viet Nam","","","","","",""
"610","196601","---","Cocos (Keeling) Islands","Cocos (Keeling), Îles","","","","","",""
"611","196601","---","Nauru","Nauru","","","","","",""
"612","196601","---","Norfolk Island","Norfolk, Île","","","","","",""
"613","196601","---","Papua New Guinea","Papouasie-Nouvelle-Guinée","","","","","",""
"614","198801","---","Australia","Australie","","","","","",""
"615","196601","---","Christmas Island","Christmas, Île","","","","","",""
"616","196601","---","Heard Island and McDonald Islands","Heard-et-Îles MacDonald, Île","","","","","",""
"617","196601","---","Fiji","Fidji","","","","","",""
"619","196601","---","Tokelau","Tokélaou","","","","","",""
"620","196601","---","Niue","Niue","","","","","",""
"621","196601","---","Cook Islands","Cook, Îles","","","","","",""
"622","196601","---","New Zealand","Nouvelle-Zélande","","","","","",""
"623","196601","---","Solomon Islands","Salomon, Îles","","","","","",""
"624","196601","---","Tuvalu","Tuvalu","","","","","",""
"625","196601","---","Kiribati","Kiribati","","","","","",""
"626","196601","---","Pitcairn","Pitcairn","","","","","",""
"627","196601","---","Tonga","Tonga","","","","","",""
"628","196601","---","Samoa","Samoa","","","","","",""
"651","196601","---","Wallis and Futuna","Wallis-et-Futuna","","","","","",""
"652","196601","---","Vanuatu","Vanuatu","","","","","",""
"653","196601","---","New Caledonia","Nouvelle-Calédonie","","","","","",""
"654","198801","---","French Polynesia","Polynésie française","","","","","",""
"666","196601","---","Guam","Guam","","","","","",""
"667","196601","---","American Samoa","Samoa américaines","","","","","",""
"668","198801","---","United States Minor Outlying Islands","Îles mineures éloignées des États-Unis","","","","","",""
"669","199201","---","Palau","Palaos","","","","","",""
"669","196601","199112","Palau","Palaos","","","","","",""
